                              signal_alias                              |                                                                                signal_name                          
 MAGNETICS/FLUX_LOOP/33/NAME                                            | EFITMAGXML2::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=33]/timeTrace/@signalName,/string_1d, unique=66)
 MAGNETICS/FLUX_LOOP/33/IDENTIFIER                                      | EFITMAGXML2::put(value=33, type=string_1d, unique=67)
 MAGNETICS/FLUX_LOOP/34/NAME                                            | EFITMAGXML2::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=34]/timeTrace/@signalName,/string_1d, unique=68)
 MAGNETICS/FLUX_LOOP/34/IDENTIFIER                                      | EFITMAGXML2::put(value=34, type=string_1d, unique=69)
 MAGNETICS/FLUX_LOOP/35/NAME                                            | EFITMAGXML2::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=35]/timeTrace/@signalName,/string_1d, unique=70)
 MAGNETICS/FLUX_LOOP/35/IDENTIFIER                                      | EFITMAGXML2::put(value=35, type=string_1d, unique=71)
 MAGNETICS/FLUX_LOOP/36/NAME                                            | EFITMAGXML2::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=36]/timeTrace/@signalName,/string_1d, unique=72)
 MAGNETICS/FLUX_LOOP/36/IDENTIFIER                                      | EFITMAGXML2::put(value=36, type=string_1d, unique=73)
 MAGNETICS/FLUX_LOOP/37/NAME                                            | EFITMAGXML2::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=37]/timeTrace/@signalName,/string_1d, unique=74)
 MAGNETICS/FLUX_LOOP/37/IDENTIFIER                                      | EFITMAGXML2::put(value=37, type=string_1d, unique=75)
 MAGNETICS/FLUX_LOOP/38/NAME                                            | EFITMAGXML2::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=38]/timeTrace/@signalName,/string_1d, unique=76)
 MAGNETICS/FLUX_LOOP/38/IDENTIFIER                                      | EFITMAGXML2::put(value=38, type=string_1d, unique=77)
 MAGNETICS/FLUX_LOOP/39/NAME                                            | EFITMAGXML2::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=39]/timeTrace/@signalName,/string_1d, unique=78)
 MAGNETICS/FLUX_LOOP/39/IDENTIFIER                                      | EFITMAGXML2::put(value=39, type=string_1d, unique=79)
 MAGNETICS/FLUX_LOOP/40/NAME                                            | EFITMAGXML2::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=40]/timeTrace/@signalName,/string_1d, unique=80)
 MAGNETICS/FLUX_LOOP/40/IDENTIFIER                                      | EFITMAGXML2::put(value=40, type=string_1d, unique=81)
 MAGNETICS/FLUX_LOOP/41/NAME                                            | EFITMAGXML2::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=41]/timeTrace/@signalName,/string_1d, unique=82)
 MAGNETICS/FLUX_LOOP/41/IDENTIFIER                                      | EFITMAGXML2::put(value=41, type=string_1d, unique=83)
 MAGNETICS/FLUX_LOOP/42/NAME                                            | EFITMAGXML2::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=42]/timeTrace/@signalName,/string_1d, unique=84)
 MAGNETICS/FLUX_LOOP/42/IDENTIFIER                                      | EFITMAGXML2::put(value=42, type=string_1d, unique=85)
 MAGNETICS/FLUX_LOOP/43/NAME                                            | EFITMAGXML2::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=43]/timeTrace/@signalName,/string_1d, unique=86)
 MAGNETICS/FLUX_LOOP/43/IDENTIFIER                                      | EFITMAGXML2::put(value=43, type=string_1d, unique=87)
 MAGNETICS/FLUX_LOOP/44/NAME                                            | EFITMAGXML2::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=44]/timeTrace/@signalName,/string_1d, unique=88)
 MAGNETICS/FLUX_LOOP/44/IDENTIFIER                                      | EFITMAGXML2::put(value=44, type=string_1d, unique=89)
 MAGNETICS/FLUX_LOOP/45/NAME                                            | EFITMAGXML2::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=45]/timeTrace/@signalName,/string_1d, unique=90)
 MAGNETICS/FLUX_LOOP/45/IDENTIFIER                                      | EFITMAGXML2::put(value=45, type=string_1d, unique=91)
